CVE_SUBCUE,SUBCUENCA,TIPO,AREA,PERIMETRO,CVE_CUE,iie_2018_mean,iie_2018_variance,iie_2018_count,EDOS_CUE
RH30Dt,"R. Chilapa",EXORREICA,2172.77 km²,253.69 km,RH30D,0.648598538499889,0.0703188856960051,31772,"CS,TC,VZ"
RH18Af,"R. Mixteco",EXORREICA,7727.93 km²,657.98 km,RH18A,0.543994630743063,0.0422455312136107,123405,"GR,MC,MS,OC,PL,TL,VZ"
RH18Cf,"R. San Miguel",EXORREICA,1235.33 km²,243.41 km,RH18C,0.818001761209841,0.0271478244812152,66781,"GR,MC,MN"
RH29Ab,"R. Santa Ana",EXORREICA,585.24 km²,118.44 km,RH29A,0.469273776454595,0.0310899647055513,3839,"CS,TC,VZ"
RH18Dd,"R. Balsas - La Villita",EXORREICA,474.57 km²,133.10 km,RH18D,0.436976825417252,0.0459261565758357,7237,"GR,MN"
RH33Ae,"R. Escondido",EXORREICA,2517.71 km²,351.95 km,RH33A,0.724686986202905,0.0286969966024813,40048,"CC,QR"
RH17Af,"R. Popoyutla",EXORREICA,432.42 km²,121.64 km,RH17A,0.611659378777388,0.0279520229025437,6905,"MN"
RH28Aj,"R. Obispo",EXORREICA,1523.61 km²,201.71 km,RH28A,0.369038167739281,0.02013736503864,24186,"OC,PL,VZ"
RH17Ae,"R. Ahuindo",EXORREICA,467.61 km²,130.70 km,RH17A,0.590529185639708,0.0155929603394955,7324,"MN"
RH29Bb,"L. de Ostión",EXORREICA,345.31 km²,82.66 km,RH29B,0.464960281958825,0.0362610156944962,5458,"CS,OC,VZ"
RH18Ca,"R. Balsas - San Cristóbal",EXORREICA,616.09 km²,170.38 km,RH18C,0.451497233784203,0.0543155547834532,9747,"GR,MC,MN"
RH28Ap,"R. San Juan",EXORREICA,2151.10 km²,301.19 km,RH28A,0.80491622157651,0.0434205845845514,41840,"OC,PL,VZ"
RH29Bc,"R. Calzadas",EXORREICA,1215.62 km²,232.25 km,RH29B,0.392666423043745,0.0466272828642281,19251,"CS,OC,VZ"
RH18Bb,"R. Balsas - Sto. Tomás",EXORREICA,2045.43 km²,407.63 km,RH18B,0.6611520230725,0.03241312213809,31982,"GR,MC,MS,PL"
RH18Ce,"R. Cuirio",EXORREICA,1199.84 km²,248.06 km,RH18C,0.654618578337481,0.0470777917774431,19125,"GR,MC,MN"
RH17Ab,"R. Carrizal o Acapilcan",EXORREICA,519.87 km²,152.22 km,RH17A,0.563136387457685,0.0315497915653503,8296,"MN"
RH30Dv,"R. Tabasquillo",EXORREICA,251.25 km²,81.91 km,RH30D,0.900234695155435,0.03815247241868,4018,"CS,TC,VZ"
RH18Bi,"R. Puente Verde",EXORREICA,703.51 km²,165.51 km,RH18B,0.586618152411955,0.0303273223424004,11229,"GR,MC,MS,PL"
RH29Aa,"L. Laguna del Carmen y Machona",EXORREICA,2023.66 km²,251.78 km,RH29A,0.528665221756804,0.0754615498409867,28502,"CS,TC,VZ"
RH30Dw,"R. Carrizal",EXORREICA,1165.69 km²,266.76 km,RH30D,0.539825884036099,0.0567041694833486,25545,"CS,TC,VZ"
RH30Cd,"R. Chumpán",EXORREICA,1957.07 km²,263.94 km,RH30C,0.440571408113935,0.0378003981351378,31181,"CC,TC"
RH30Dz,"R. Cuxcuchapa",EXORREICA,633.77 km²,158.01 km,RH30D,0.407789007580139,0.0782446996294699,9035,"CS,TC,VZ"
RH30Ac,"R. Palizada",EXORREICA,1107.27 km²,195.12 km,RH30A,0.607751879127474,0.0672632242595077,17274,"CC,CS,TC"
RH30Ce,"R. Candelaria",EXORREICA,2131.68 km²,238.95 km,RH30C,0.518034582218417,0.0379344508244462,33800,"CC,TC"
RH18Bg,"R. Tepecuacuilco",EXORREICA,1125.82 km²,223.58 km,RH18B,0.502160861516507,0.0340607511479901,17931,"GR,MC,MS,PL"
RH18Cd,"R. Placeres",EXORREICA,2628.52 km²,311.44 km,RH18C,0.647204040560601,0.0403736505979621,41939,"GR,MC,MN"
RH17Ba,"R. Mameyera y Tupitina",EXORREICA,1054.48 km²,180.26 km,RH17B,0.64983299448258,0.0250089084592732,16793,"JC,MN"
RH28Ar,"L. Catemaco",EXORREICA,255.52 km²,81.76 km,RH28A,0.431947647094532,0.0334833160292763,2929,"OC,PL,VZ"
RH17Be,"Punta San Telmo - R. Coalcomacán y Cobre",EXORREICA,481.80 km²,130.64 km,RH17B,0.608528025783411,0.0148349512246158,7660,"JC,MN"
RH30Cc,"L. del Este",EXORREICA,1261.36 km²,189.30 km,RH30C,0.743049747851078,0.0682539995807821,18377,"CC,TC"
RH30Aa,"R. Usumacinta",EXORREICA,7113.21 km²,996.43 km,RH30A,0.596000929721251,0.0686166687053753,106820,"CC,CS,TC"
RH18Dc,"R. Balsas - La Garita",EXORREICA,1220.68 km²,198.46 km,RH18D,0.632403328255924,0.0224322311079243,19345,"GR,MN"
RH28Aq,"R. San Andrés",EXORREICA,1467.05 km²,200.74 km,RH28A,0.690205620471056,0.0415310211599114,26266,"OC,PL,VZ"
RH18Ag,"R. Acatlán",EXORREICA,3449.95 km²,352.87 km,RH18A,0.486930008579033,0.0452382042420172,55103,"GR,MC,MS,OC,PL,TL,VZ"
RH30Cg,"R. Caribe",EXORREICA,5472.92 km²,658.39 km,RH30C,0.862150946521491,0.0242327989189097,87262,"CC,TC"
RH17Ac,"R. Chula",EXORREICA,894.70 km²,210.02 km,RH17A,0.645897587914644,0.0260777483990577,14272,"MN"
RH28Ab,"R. Tonto",EXORREICA,986.99 km²,221.96 km,RH28A,0.410750780752361,0.0556832127561868,15731,"OC,PL,VZ"
RH18Fa,"R. Bajo Amacuzac",EXORREICA,2280.96 km²,330.06 km,RH18F,0.573553598902662,0.0210163654385998,36409,"DF,GR,MC,MS,PL"
RH30Ch,"R. Mamantel",EXORREICA,848.25 km²,146.40 km,RH30C,0.523612257729609,0.0359723429732166,13560,"CC,TC"
RH18Bh,"R. Cocula o Iguala",EXORREICA,2354.00 km²,290.58 km,RH18B,0.541575450774333,0.0361910916714383,37464,"GR,MC,MS,PL"
RH30Da,"R. Grijalva",EXORREICA,1925.34 km²,464.88 km,RH30D,0.600445279972718,0.0826903741447093,28874,"CS,TC,VZ"
RH30Ad,"R. San Pedro y San Pablo",EXORREICA,772.46 km²,151.65 km,RH30A,0.864107603347485,0.0415567303523973,12157,"CC,CS,TC"
RH18Aa,"R. Atoyac - Tehuitzingo",EXORREICA,2813.29 km²,401.52 km,RH18A,0.601408341997221,0.0268572927532119,44917,"GR,MC,MS,OC,PL,TL,VZ"
RH18Fg,"L. Tequesquitengo",ENDORREICA,28.42 km²,27.69 km,RH18F,0.263249773502006,0.02541117084958,329,"DF,GR,MC,MS,PL"
RH30Cb,"L. de Pomi y Atasta",EXORREICA,1736.59 km²,265.25 km,RH30C,0.84827439122728,0.0464333588308869,25295,"CC,TC"
RH17Bc,"R. Ostuta",EXORREICA,475.70 km²,124.98 km,RH17B,0.632752910167537,0.0208100539162634,7593,"JC,MN"
RH33Ad,"R. Hondo",EXORREICA,4928.64 km²,500.96 km,RH33A,0.662016917902796,0.0394807705214137,78554,"CC,QR"
RH28As,"R. Tecolapilla",EXORREICA,1293.74 km²,251.08 km,RH28A,0.532649463437427,0.056126826697853,20508,"OC,PL,VZ"
RH28Aa,"R. Papaloapan",EXORREICA,2555.71 km²,416.91 km,RH28A,0.355482202601743,0.0139557968685988,40350,"OC,PL,VZ"
RH17Bd,"R. Aquila",EXORREICA,371.25 km²,111.00 km,RH17B,0.586982151627236,0.0308639754147761,5928,"JC,MN"
RH28Aw,"R. de las Pozas",EXORREICA,984.00 km²,180.02 km,RH28A,0.316957074622654,0.00276854473404135,15598,"OC,PL,VZ"
RH28Ax,"R. Amapa",EXORREICA,455.64 km²,181.17 km,RH28A,0.299518555935769,0.00716436783565925,7270,"OC,PL,VZ"
RH28Ac,"P. Presidente Alemán",EXORREICA,1785.32 km²,331.99 km,RH28A,0.653171374962202,0.0723749685203187,23691,"OC,PL,VZ"
RH18Da,"R. Balsas - Aratichanguio",EXORREICA,1216.95 km²,218.01 km,RH18D,0.594731884336433,0.0311868999217097,19297,"GR,MN"
RH28Ad,"R. Petlapa",EXORREICA,2167.41 km²,263.65 km,RH28A,0.595628941863509,0.0621197751798479,34594,"OC,PL,VZ"
RH28At,"R. Camarón",EXORREICA,2543.79 km²,363.44 km,RH28A,0.37532069780925,0.0263560608223859,39398,"OC,PL,VZ"
RH17Ad,"R. Nexpe",EXORREICA,2249.70 km²,301.01 km,RH17A,0.68231926137963,0.0289766647115045,35923,"MN"
RH18Cc,"R. Huetamo",EXORREICA,416.56 km²,131.42 km,RH18C,0.531160634358285,0.065094627377336,6636,"GR,MC,MN"
RH18Cb,"R. Balsas - Zirándaro",EXORREICA,1069.85 km²,260.89 km,RH18C,0.521370454455963,0.0516444517196534,16918,"GR,MC,MN"
RH18Ga,"R. Cutzamala",EXORREICA,1112.72 km²,261.98 km,RH18G,0.543171303334267,0.0690075600375701,17592,"GR,MC,MN"
RH18Ii,"A. Las Cruces",EXORREICA,1027.23 km²,179.89 km,RH18I,0.590173546423551,0.0278891088919005,16405,"MN"
RH18Ch,"R. Poliutla",EXORREICA,2951.49 km²,326.44 km,RH18C,0.586399032444511,0.0434044039299471,46998,"GR,MC,MN"
RH18Db,"P. El Infiernillo",EXORREICA,4590.98 km²,468.66 km,RH18D,0.667009174874006,0.027757055688616,70345,"GR,MN"
RH28Au,"L. de Alvarado",EXORREICA,277.98 km²,120.14 km,RH28A,0.539143963516887,0.0760759285865455,2907,"OC,PL,VZ"
RH17Bb,"R. Cachan o Coalcomán",EXORREICA,1985.16 km²,269.66 km,RH17B,0.708151486678624,0.0326275369105665,31725,"JC,MN"
RH18Ge,"R. Ixtapan",EXORREICA,1695.35 km²,259.87 km,RH18G,0.605521328893288,0.039777884983882,27078,"GR,MC,MN"
RH18Ib,"R. San Pedro",EXORREICA,463.92 km²,126.44 km,RH18I,0.77506856595874,0.0488618568524605,22281,"MN"
RH18Hb,"R. Quenchendio",EXORREICA,607.51 km²,149.50 km,RH18H,0.691390056318527,0.0177199068999512,9705,"MN"
RH18Ac,"P. Miguel Ávila Camacho",EXORREICA,202.81 km²,70.76 km,RH18A,0.173714262648269,0.0201822281944405,2820,"GR,MC,MS,OC,PL,TL,VZ"
RH28Ae,"R. Salado",EXORREICA,6464.80 km²,604.83 km,RH28A,0.462440426182462,0.070965223223182,16124,"OC,PL,VZ"
RH28Av,"R. Blanco",EXORREICA,2785.30 km²,470.66 km,RH28A,0.77349863020373,0.0392991917765483,41204,"OC,PL,VZ"
RH18Fb,"R. Cuautla",EXORREICA,1177.97 km²,238.15 km,RH18F,0.362335485551985,0.0461416583218763,18833,"DF,GR,MC,MS,PL"
RH18Fe,"R. Coatlán",EXORREICA,1092.50 km²,185.58 km,RH18F,0.495578701921661,0.0535749804586907,17407,"DF,GR,MC,MS,PL"
RH18Ff,"R. Alto Amacuzac",EXORREICA,2611.98 km²,337.57 km,RH18F,0.498068981487244,0.0594903127352456,41727,"DF,GR,MC,MS,PL"
RH30Ca,"L. de Términos",EXORREICA,3940.43 km²,608.66 km,RH30C,0.61819978713959,0.0549321207358374,60393,"CC,TC"
RH28Ba,"R. Atoyac",EXORREICA,1680.48 km²,335.45 km,RH28B,0.382537024322652,0.0333729071296514,26836,"PL,VZ"
RH18Ih,"R. El Marqués",EXORREICA,283.36 km²,113.38 km,RH18I,0.386185702516131,0.0465355566124461,4473,"MN"
RH18Fc,"R. Yautepec",EXORREICA,1534.43 km²,272.11 km,RH18F,0.427739701904462,0.0627343499752678,24498,"DF,GR,MC,MS,PL"
RH18Ic,"P. El Zapote",EXORREICA,812.52 km²,184.48 km,RH18I,0.582656905929434,0.0402888496926309,12915,"MN"
RH18Ae,"R. Nexapa",EXORREICA,4440.54 km²,407.60 km,RH18A,0.446502698757773,0.0553020956159307,70926,"GR,MC,MS,OC,PL,TL,VZ"
RH18Ia,"R. Tepalcatepec",EXORREICA,1019.59 km²,262.27 km,RH18I,0.506580380254286,0.054538896956095,15105,"MN"
RH18Aj,"R. Alceseca",EXORREICA,220.94 km²,84.36 km,RH18A,0.217516078283884,0.0357316673585862,3533,"GR,MC,MS,OC,PL,TL,VZ"
RH18Fd,"R. Apatlaco",EXORREICA,809.95 km²,168.57 km,RH18F,0.39041868105021,0.093357251954785,12946,"DF,GR,MC,MS,PL"
RH28Bb,"R. Jamapa",EXORREICA,2241.52 km²,405.73 km,RH28B,0.384345785955524,0.0297324543638958,35486,"PL,VZ"
RH18Ab,"R. Atoyac - Balcón del Diablo",EXORREICA,4106.20 km²,444.69 km,RH18A,0.35203148469487,0.055207254718288,65607,"GR,MC,MS,OC,PL,TL,VZ"
RH33Ac,"Bahía de Chetumal",EXORREICA,7574.65 km²,927.23 km,RH33A,0.799218175855921,0.0271567069038258,117574,"CC,QR"
RH18Gf,"R. Temascaltepec",EXORREICA,1229.26 km²,227.27 km,RH18G,0.590013372538479,0.0507139277707188,19624,"GR,MC,MN"
RH15Aa,"L. de Cuyutlán",EXORREICA,973.00 km²,243.62 km,RH15A,0.525628583160904,0.0524383263254207,14466,"CM,JC"
RH28Bc,"R. San Francisco - Puerto de Veracruz",EXORREICA,681.51 km²,194.71 km,RH28B,0.262200218724958,0.0184428025657069,10761,"PL,VZ"
RH12Ak,"R. Verdiguel",EXORREICA,70.85 km²,53.71 km,RH12A,0.26784650963141,0.0632316912566608,1136,"DF,GT,MC,MN,QT"
RH18Jd,"A. Tepalcatepec",EXORREICA,2695.90 km²,337.92 km,RH18J,0.512559258040029,0.0529786076909885,43055,"JC,MN"
RH33Aa,"Varias",EXORREICA,1432.68 km²,340.97 km,RH33A,0.548353058664159,0.046924042771271,15080,"CC,QR"
RH16Aa,"R. Ahuijullo",EXORREICA,1909.34 km²,275.36 km,RH16A,0.626327425188177,0.0311144128685014,30424,"CM,JC,MN"
RH12Aj,"R. Tejalpa",EXORREICA,217.48 km²,79.44 km,RH12A,0.346824090346693,0.0663074720746046,3474,"DF,GT,MC,MN,QT"
RH31Ab,"R. La Gloria y L. Noh",ENDORREICA,9599.69 km²,618.06 km,RH31A,0.790368009745595,0.0289074718042284,153032,"CC"
RH28Be,"R. La Antigua",EXORREICA,514.70 km²,156.57 km,RH28B,0.353243767361241,0.0151998638605212,8240,"PL,VZ"
RH28Bd,"R. Paso de Ovejas",EXORREICA,676.63 km²,176.52 km,RH28B,0.306622613123373,0.00893427808163628,10770,"PL,VZ"
RH18Je,"R. Apatzingán",EXORREICA,1191.15 km²,152.16 km,RH18J,0.41402022853691,0.0541235100515936,19034,"JC,MN"
RH18Ha,"R. Tacámbaro",EXORREICA,2766.22 km²,365.41 km,RH18H,0.582337963470794,0.04087337208499,44182,"MN"
RH16Ad,"L. Alcuzahue y Ámela",EXORREICA,1291.08 km²,272.05 km,RH16A,0.414689849676466,0.0498674238105475,20315,"CM,JC,MN"
RH18Ja,"R. Bajo Tepalcatepec",EXORREICA,2421.90 km²,437.02 km,RH18J,0.429241266103723,0.0582874537834464,38577,"JC,MN"
RH18Ad,"R. Atoyac - San Martín Texmelucan",EXORREICA,1967.50 km²,260.56 km,RH18A,0.321873743198619,0.0801225731927666,31411,"GR,MC,MS,OC,PL,TL,VZ"
RH18Ie,"L. de Zirahuén",ENDORREICA,273.07 km²,90.34 km,RH18I,0.568134855952235,0.0783721500820309,4190,"MN"
RH31Bd,"R. Champotón",EXORREICA,676.36 km²,166.73 km,RH31B,0.538860133208597,0.0395337166237504,10818,"CC,YN"
RH31Aa,"R. Noahabín",ENDORREICA,1154.14 km²,212.87 km,RH31A,0.677609331249284,0.026413759509979,18435,"CC"
RH12Aa,"R. Almoloya - Otzolotepec",EXORREICA,1326.55 km²,179.46 km,RH12A,0.348588088413974,0.0735250969815426,21170,"DF,GT,MC,MN,QT"
RH12Ai,"R. Gavia",EXORREICA,579.87 km²,119.92 km,RH12A,0.250114183106283,0.0182744759721585,9100,"DF,GT,MC,MN,QT"
RH12Al,"R. Otzolotepec",EXORREICA,83.52 km²,43.93 km,RH12A,0.434640818398224,0.0695021702154533,1335,"DF,GT,MC,MN,QT"
RH18Id,"R. La Parota",EXORREICA,1828.19 km²,240.32 km,RH18I,0.505781029539666,0.0734105884805011,29217,"MN"
RH18Gb,"R. Zitácuaro",EXORREICA,1893.68 km²,329.13 km,RH18G,0.601464335187899,0.0548267839453577,30133,"GR,MC,MN"
RH28Bg,"R. Ídolos",EXORREICA,600.80 km²,124.26 km,RH28B,0.286537905308979,0.0161988606770436,9598,"PL,VZ"
RH18Hc,"R. Carácuaro",EXORREICA,2152.17 km²,274.46 km,RH18H,0.666691372969349,0.0330919298946286,34383,"MN"
RH28Bf,"R. Decozalapa",EXORREICA,1628.22 km²,238.51 km,RH28B,0.472875512441634,0.0486259782661998,25999,"PL,VZ"
RH16Ac,"R. Coahuayana",EXORREICA,2255.75 km²,409.58 km,RH16A,0.516906366051072,0.052224342406755,35853,"CM,JC,MN"
RH18Ig,"R. Cupatitzio",EXORREICA,781.55 km²,180.52 km,RH18I,0.520113390870302,0.082018117518215,12476,"MN"
RH18Jc,"R. San Jerónimo",EXORREICA,1059.36 km²,205.09 km,RH18J,0.608016145995017,0.0412766614072352,16765,"JC,MN"
RH15Ab,"R. Chacala",EXORREICA,2145.13 km²,309.79 km,RH15A,0.691416246987906,0.0549661993976962,34180,"CM,JC"
RH18Gg,"R. Tilostoc",EXORREICA,2803.51 km²,432.82 km,RH18G,0.531914261781263,0.0639602812913308,43974,"GR,MC,MN"
RH16Ba,"R. Armería",EXORREICA,2574.95 km²,281.56 km,RH16B,0.526371873522115,0.0790120286815099,41095,"CM,JC"
RH18Gd,"R. Purungueo",EXORREICA,2732.14 km²,344.65 km,RH18G,0.684949340964966,0.0269838387759201,43652,"GR,MC,MN"
RH18Ai,"R. Zahuapan",EXORREICA,1632.65 km²,225.50 km,RH18A,0.296213067399744,0.0342092135572278,25910,"GR,MC,MS,OC,PL,TL,VZ"
RH18Ah,"L. Totolzingo",ENDORREICA,4918.72 km²,376.59 km,RH18A,0.37675389775663,0.0499645564198761,78516,"GR,MC,MS,OC,PL,TL,VZ"
RH26Dn,"R. Cuautitlán",EXORREICA,385.17 km²,128.50 km,RH26D,0.3359811463252,0.093905853074599,6083,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12Ga,"L. de Pátzcuaro",ENDORREICA,934.52 km²,174.35 km,RH12G,0.529141621090062,0.074848104875967,13400,"GT,MN"
RH18If,"Paracho - Nahuatzen",ARREICA,729.41 km²,150.17 km,RH18I,0.528390937352891,0.0737241692578906,11655,"MN"
RH28Bh,"R. Actopan - Barra de Chachalacas",EXORREICA,691.73 km²,185.27 km,RH28B,0.3167254609923,0.0165387392879973,11036,"PL,VZ"
RH28Bj,"R. Cedeño",EXORREICA,701.12 km²,163.27 km,RH28B,0.377602667653454,0.0227995962389017,11199,"PL,VZ"
RH18Jb,"R. Alto Tepalcatepec",EXORREICA,768.94 km²,191.21 km,RH18J,0.606698235101997,0.0274651797411703,12181,"JC,MN"
RH28Bi,"R. Pajaritos",EXORREICA,583.61 km²,134.34 km,RH28B,0.344240590387334,0.0161641351409462,9140,"PL,VZ"
RH12Ah,"R. Jaltepec",EXORREICA,374.42 km²,115.31 km,RH12A,0.2841726516872,0.0226398042872385,5863,"DF,GT,MC,MN,QT"
RH31Ba,"Dzibalchén",ENDORREICA,1514.31 km²,235.59 km,RH31B,0.584029835929934,0.0396805005480631,24193,"CC,YN"
RH18Gc,"R. Tuxpan",EXORREICA,1881.22 km²,259.20 km,RH18G,0.306295252750638,0.00879136199110104,14304,"GR,MC,MN"
RH12Am,"R. Sila",EXORREICA,638.65 km²,126.71 km,RH12A,0.338440373984811,0.0460382325445406,10134,"DF,GT,MC,MN,QT"
RH15Ba,"R. Cuitzmala",EXORREICA,1121.11 km²,235.38 km,RH15B,0.620865377965864,0.0316829271585171,17829,"JC"
RH15Ac,"R. Purificación",EXORREICA,2222.27 km²,362.13 km,RH15A,0.605160041236784,0.093916190924729,20406,"CM,JC"
RH31Bc,"Varias",EXORREICA,3615.45 km²,553.20 km,RH31B,0.548353058664159,0.046924042771271,15080,"CC,YN"
RH26Dp,"L. Texcoco y Zumpango",ENDORREICA,4865.49 km²,393.84 km,RH26D,0.261443272548873,0.0732660591808517,77387,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12De,"L. de Zapotlán",ENDORREICA,460.25 km²,115.04 km,RH12D,0.494811834941921,0.105572248106425,7128,"JC,MN"
RH27Aa,"R. Barranca Hernández",EXORREICA,267.00 km²,86.36 km,RH27A,0.3965340255065,0.00973724936983793,4245,"PL,VZ"
RH12Ab,"R. Otzolotepec - R. Atlacomulco",EXORREICA,1135.15 km²,263.46 km,RH12A,0.258891213932989,0.0266730679134453,17851,"DF,GT,MC,MN,QT"
RH18Jg,"R. Quitupan",EXORREICA,1030.98 km²,177.90 km,RH18J,0.608040659194257,0.0258171025138319,16485,"JC,MN"
RH26Do,"Tepotzotlán",ENDORREICA,420.35 km²,132.24 km,RH26D,0.247040760215687,0.0344641581592929,6683,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12Af,"A. Cavichi",EXORREICA,769.18 km²,149.20 km,RH12A,0.428762307195536,0.0628086172876635,12189,"DF,GT,MC,MN,QT"
RH33Ab,"Bahías La Ascensión y Espíritu Santo",EXORREICA,4354.25 km²,675.28 km,RH33A,0.910273808939747,0.00611103147490834,67311,"CC,QR"
RH27Ab,"R. Santa Ana",EXORREICA,242.23 km²,76.91 km,RH27A,0.469273776454595,0.0310899647055513,3839,"PL,VZ"
RH12Ag,"R. Tlalpujahua",EXORREICA,447.96 km²,119.65 km,RH12A,0.35845773632266,0.0340372363495854,7097,"DF,GT,MC,MN,QT"
RH26Du,"L. Tochac y Tecocomulco",EXORREICA,1901.56 km²,257.75 km,RH26D,0.348984213713917,0.0289019795604237,29960,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH31Bb,"Toop",EXORREICA,4870.46 km²,617.50 km,RH31B,0.610501814403945,0.0347430709082791,77746,"CC,YN"
RH16Ab,"R. Tuxpan",EXORREICA,2440.49 km²,279.68 km,RH16A,0.306295252750638,0.00879136199110104,14304,"CM,JC,MN"
RH26Dm,"R. El Salto",EXORREICA,856.98 km²,157.59 km,RH26D,0.420763512577852,0.0486865382639508,13509,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12Ae,"A. Tarandacuao",EXORREICA,265.32 km²,92.89 km,RH12A,0.383312589680892,0.0380475916874922,4241,"DF,GT,MC,MN,QT"
RH33Bc,"""Becanchén, L. Chichancanab, Loché, Xkanha, Sin nombre",ENDORREICA,6553.50 km²,585.62 km,RH33B,0.747728141231504,0.0293664086835502,104516,"CC,QR,YN"
RH33Bb,"Xpechil - Felipe Carrillo Puerto - Chunhuhab, Ycactúm, L. Paiyagua",ENDORREICA,8605.45 km²,669.93 km,RH33B,0.845298143966394,0.0214739946790421,137067,"CC,QR,YN"
RH26Dl,"R. Tlautla",EXORREICA,507.62 km²,155.14 km,RH26D,0.414913431957476,0.0560817160258567,7983,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH18Jf,"R. Itzícuaro",EXORREICA,2492.61 km²,370.26 km,RH18J,0.482339285689145,0.0576203927186049,39551,"JC,MN"
RH27Ac,"R. Yachite",EXORREICA,265.41 km²,103.41 km,RH27A,0.488098028127446,0.0453980554613974,4225,"PL,VZ"
RH26Dk,"R. Rosas",EXORREICA,296.51 km²,93.97 km,RH26D,0.29895320854664,0.0167068490859097,4719,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12Gb,"L. de Cuitzeo",ENDORREICA,4023.61 km²,367.24 km,RH12G,0.433843528688805,0.0604798977808429,58478,"GT,MN"
RH27Ai,"R. Bobos",EXORREICA,1789.85 km²,234.23 km,RH27A,0.441517170720705,0.0437153125960671,28606,"PL,VZ"
RH27Ah,"R. María de la Torre",EXORREICA,294.62 km²,150.96 km,RH27A,0.32708093018634,0.0175880807075208,4695,"PL,VZ"
RH12Ad,"P. Solís",EXORREICA,356.92 km²,109.72 km,RH12A,0.374403851793269,0.0356562696849349,4799,"DF,GT,MC,MN,QT"
RH27Ad,"R. Colipa",EXORREICA,423.92 km²,123.99 km,RH27A,0.426373969289103,0.0283106052061482,6653,"PL,VZ"
RH27Bd,"R. Tecuantepec",EXORREICA,1056.34 km²,205.55 km,RH27B,0.464500100378474,0.0437162380806304,16878,"HG,PL,TL,VZ"
RH12Da,"R. Sahuayo",EXORREICA,967.47 km²,159.09 km,RH12D,0.382218082651134,0.0326707388950072,15306,"JC,MN"
RH12Ac,"R. Atlacomulco - Paso de Ovejas",EXORREICA,1653.67 km²,282.10 km,RH12A,0.348928013603835,0.0341769475019047,25663,"DF,GT,MC,MN,QT"
RH26Dt,"R. Tezontepec",EXORREICA,2067.25 km²,277.39 km,RH26D,0.297870134690292,0.0248123907135194,33003,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12Cd,"R. Ángulo",ENDORREICA,2002.43 km²,248.48 km,RH12C,0.460506879772073,0.0478137215592323,31586,"GT,JC,MN"
RH33Ba,"L. Chunyaxché y varias",EXORREICA,3122.58 km²,367.39 km,RH33B,0.882571873692437,0.0118900821232384,49277,"CC,QR,YN"
RH26Dq,"R. Salado",EXORREICA,661.73 km²,160.41 km,RH26D,0.462440426182462,0.070965223223182,16124,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH12Dd,"L. de Sayula",ENDORREICA,1479.69 km²,213.83 km,RH12D,0.509559961454372,0.0628122062714066,22877,"JC,MN"
RH27Ae,"R. Mizantla",EXORREICA,585.58 km²,169.91 km,RH27A,0.467400352386005,0.0520064912843694,9356,"PL,VZ"
RH27Be,"R. Apulco",EXORREICA,2109.37 km²,337.45 km,RH27B,0.455434905518161,0.0473223718483358,33679,"HG,PL,TL,VZ"
RH15Bb,"R. San Nicolás",EXORREICA,2782.71 km²,392.74 km,RH15B,0.757719358418283,0.0338632275263801,44225,"JC"
RH27Bc,"R. Laxaxalpan",EXORREICA,1608.95 km²,289.34 km,RH27B,0.4667356588607,0.0526184955908971,25676,"HG,PL,TL,VZ"
RH12Cc,"R. Duero",EXORREICA,2616.76 km²,286.10 km,RH12C,0.440601814706003,0.0609481741512274,41633,"GT,JC,MN"
RH26Df,"R. Prieto",EXORREICA,613.51 km²,144.67 km,RH26D,0.370328656541294,0.0378757593094295,9726,"DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
RH27Bb,"R. Necaxa",EXORREICA,900.78 km²,226.61 km,RH27B,0.425784164800807,0.0428224652600855,14225,"HG,PL,TL,VZ"
RH12An,"R. Tigre",EXORREICA,647.43 km²,144.62 km,RH12A,0.360655305062143,0.0199812370447856,10261,"DF,GT,MC,MN,QT"
RH27Bf,"R. Joloapan",EXORREICA,502.21 km²,188.42 km,RH27B,0.401052597118421,0.031763141936493,8033,"HG,PL,TL,VZ"
RH16Bb,"R. Tuxcacuesco",EXORREICA,3572.61 km²,349.89 km,RH16B,0.583872771185748,0.0529249107932158,56913,"CM,JC"
RH15Cb,"R. Mismaloya",EXORREICA,786.08 km²,156.49 km,RH15C,0.605287429829966,0.0546020587230277,12228,"JC"
RH27Af,"R. Nautla",EXORREICA,719.93 km²,179.17 km,RH27A,0.328397218288756,0.0121950390113274,11451,"PL,VZ"
RH12Gc,"L. de Yuriria",ENDORREICA,1106.74 km²,161.89 km,RH12G,0.431626784566744,0.0379136763457805,16648,"GT,MN"
